original_id,artists,track name,emotion_type,emotion_score,culture
112208,Keişan,"Ateş, Elbet",ANGER,0.9260193109512329,Turkish
112210,Cash Flow,600 Watt,ANGER,0.9381814002990723,Turkish
112214,Ezhel,Sekiz 2,ANGER,0.4533575475215912,Turkish
112215,Şanışer,Anlamı Yok,ANGER,0.9969208240509033,Turkish
112216,No.1,Yokluğuma Alışma,SADNESS,0.8472609519958496,Turkish
112217,seco (TUR),ANNE YAŞLANDIĞIMI HİSSEDİYORUM,ANGER,0.606930136680603,Turkish
112220,No.1,Sarhoş,SADNESS,0.9532259106636047,Turkish
112221,Tan Taşçı,Beş Dakika (Live),SADNESS,0.9900290369987488,Turkish
112223,Şehinşah,İstila,ANGER,0.9689805507659912,Turkish
112224,Hayki,Bu Kendime Son Gelişim,JOY,0.9223740100860596,Turkish
112226,Hidra,Lirikal Ağ,JOY,0.9502066969871521,Turkish
112227,Bağzıları,Sizin Olsun Dünyalar,SADNESS,0.9807658195495605,Turkish
112231,Şanışer,Yanıma Gelmesinler,ANGER,0.8033218383789062,Turkish
112232,Mavi Gri,Şiir Senin Yüzündür,LOVE,0.9928117394447327,Turkish
112234,Teoman,Rapsodi İstanbul,SADNESS,0.7134566307067871,Turkish
112235,Ceg,Herşeyin Bir Bedeli Var,SADNESS,0.7848962545394897,Turkish
112237,Ceg,Dün Gece,SADNESS,0.7779116034507751,Turkish
112238,İstanbul Trip,Kural Ne Bilmiyorum,ANGER,0.5202346444129944,Turkish
112239,Saian,Kanunsuzlar,JOY,0.6155855059623718,Turkish
112240,Ayten Alpman,Ben Böyleyim,ANGER,0.9974331259727478,Turkish
112241,Can Bonomo,Bardak Taşıyor,SADNESS,0.9959806203842163,Turkish
112243,Bağzıları,Allı Turnam,SADNESS,0.9955546259880066,Turkish
112244,Grup Yorum,Sevda Türküsü,LOVE,0.9939627051353455,Turkish
112245,Sansar Salvo,RAPertuar,JOY,0.760880708694458,Turkish
112247,Sezen Aksu,Karşıyım,ANGER,0.7928305864334106,Turkish
112249,Ajda Pekkan,Son Yolcu (Senza Fiato),SADNESS,0.920891523361206,Turkish
112250,EDIS,Arıyorum,SADNESS,0.9898430705070496,Turkish
112253,Gülşen,Seyre Dursun Aşk (Akustik),SADNESS,0.9590600728988647,Turkish
112254,Lil Zey,Avaz Avaz,JOY,0.5269137620925903,Turkish
112255,Anıl Piyancı,Keyif Pezevengi,JOY,0.9924856424331665,Turkish
112258,Ati242,Dondu Puşt,ANGER,0.9727132320404053,Turkish
112259,Asil Slang,BANA Bİ’ŞEY OLMAZ,SADNESS,0.9462370276451111,Turkish
112260,TNK,Ruhum Boğaziçi,LOVE,0.36077481508255005,Turkish
112261,Anıl Piyancı,BANA DİK DİK BAKMA,JOY,0.880867600440979,Turkish
112262,Şanışer,Artık Anlamıyorum,ANGER,0.9978917241096497,Turkish
112263,Son Feci Bisiklet,Modern Zamanlar,LOVE,0.9233127236366272,Turkish
112264,Killa Hakan,İlk Kural Saygı,JOY,0.8464308381080627,Turkish
112266,Şehinşah,Intro (of 666),FEAR,0.554804801940918,Turkish
112267,Şebnem Ferah,Babam Oğlum,SADNESS,0.9945980310440063,Turkish
112269,Kayra,Hayırsız Evlat,SADNESS,0.983737051486969,Turkish
112271,Şehinşah,Sendeliyorum,SADNESS,0.8928530812263489,Turkish
112272,Şanışer,Yazamam Ecele,SADNESS,0.9620153903961182,Turkish
112273,Gökhan Türkmen,Biraz Ayrılık,SADNESS,0.7194629311561584,Turkish
112274,Cem Adrian,Duymak İstiyorum,SADNESS,0.7546122670173645,Turkish
112275,Asya (TUR),Pişmanım,SADNESS,0.9511644244194031,Turkish
112276,Gece,Yarım,JOY,0.8103843927383423,Turkish
112277,Kibariye,Kara Gözlü Çingenem (Roman),LOVE,0.67876136302948,Turkish
112278,Sokrat St,Gregoryen,ANGER,0.790570855140686,Turkish
112280,Şüphe (TUR),Bitsin,SADNESS,0.8028565645217896,Turkish
112284,Yaşar,O’nun Vedası,SADNESS,0.7659262418746948,Turkish
112285,Melike Şahin,Nasır (Live at Zorlu PSM),FEAR,0.5114169716835022,Turkish
112290,Barış Kocatürk,Kalmalısın,JOY,0.9962221384048462,Turkish
112292,Yedinci Ev,Eninde Sonunda,JOY,0.9972652196884155,Turkish
112293,Nazan Öncel,Beni Bu Koca Şehirde Yalnız Bırakma,SADNESS,0.8688947558403015,Turkish
112296,Cash Flow,Hergün Bela Devam,JOY,0.6195918321609497,Turkish
112299,Kamuran Akkor,Beni Kaybettin Artık,SADNESS,0.9881659746170044,Turkish
112301,Şam,Artık,ANGER,0.699518620967865,Turkish
112302,Şanışer,Ölüm Aklımı Çelmek Üzere,ANGER,0.9821824431419373,Turkish
112303,Ocean (gråta djävulen),Ded Memories (soul food),ANGER,0.9686795473098755,Turkish
112307,Şam,Ailem İçin,ANGER,0.5567517876625061,Turkish
112308,Kaan Tangöze,Bir Kız Bana Emmi Dedi,ANGER,0.8581916689872742,Turkish
112311,Şehinşah,Hadi Yaparsın,SADNESS,0.5256045460700989,Turkish
112312,Yaşlı Amca,Her Şey Sen,ANGER,0.9521291255950928,Turkish
112315,Nazan Öncel,Beni Hatırla,ANGER,0.7292201519012451,Turkish
112316,Çağrı Sinci,Daha Neler,FEAR,0.9945300221443176,Turkish
112320,Melike Şahin,Aşk Bitti,SADNESS,0.9406164288520813,Turkish
112321,Nova Norda,Yüreğim Ellerinde,SADNESS,0.9825201630592346,Turkish
112322,Yedinci Ev,Şimdi,SADNESS,0.9739505648612976,Turkish
112324,Sertab Erener,Dandini Dandini Dastana,ANGER,0.3828650712966919,Turkish
112326,Cem Adrian,Hüzün Kovan Kuşu,JOY,0.6797851324081421,Turkish
112327,Genius Türkçe Çeviriler,Drake - Pain 1993 ft. Playboi Carti (Türkçe Çeviri),ANGER,0.5474615097045898,Turkish
112329,Arman Yekta,Agarta International,ANGER,0.9970320463180542,Turkish
112332,KÖFN,Sensiz N’aparım Ben,ANGER,0.4794415831565857,Turkish
112333,Kibariye,Gülü Soldurmam,LOVE,0.8538483381271362,Turkish
112334,Ayna,Çayımın Şekeri,JOY,0.9697614312171936,Turkish
112335,Mode XL,Toz Konduramazsın,FEAR,0.9857529997825623,Turkish
112336,Gülden Karaböcek,Hatıran Yeter,JOY,0.7630571126937866,Turkish
112339,Müzeyyen Senar,Akşam oldu hüzünlendim ben yine,LOVE,0.9906399250030518,Turkish
112340,Allame,Fare Kapanı,ANGER,0.7338552474975586,Turkish
112342,Ceg,Tanrı,ANGER,0.6688637137413025,Turkish
112343,Saian,Al Sevgilim Kanser Ol Bununla,SADNESS,0.9778838157653809,Turkish
112344,Yüksek Sadakat,Onlar Bizi Dinlerler,JOY,0.6496414542198181,Turkish
112345,Zakkum,Mürekkep,SADNESS,0.4340032637119293,Turkish
112346,Hayko Cepkin,Destina (Yeni Türkü Zamansız),ANGER,0.5558943748474121,Turkish
112348,Sagopa Kajmer,Toplamam Yerde Kalır Kırıntın,SADNESS,0.9763210415840149,Turkish
112351,Hepsi,Olmaz Böyle Şey,SADNESS,0.8603163957595825,Turkish
112353,Birsen Tezer,Kadın,FEAR,0.8367809057235718,Turkish
112358,Asil Slang,Çıkmadın Aklımdan,ANGER,0.9306820034980774,Turkish
112359,Khontkar,Hepsi Geçecek,ANGER,0.5646394491195679,Turkish
112360,Ceza,Sabah Bastı Geceyi (Savaş Çocukları Part 2),ANGER,0.988250732421875,Turkish
112363,Khontkar,Hiç Uğraşma,SADNESS,0.9337567090988159,Turkish
112364,punkart,Renkler (Sü),SADNESS,0.9965877532958984,Turkish
112367,İkiye On Kala,Ben Bu Kafayla Napıcam,SADNESS,0.9336212277412415,Turkish
112368,Güney Marlen,Nasıl Düştüm Bu Derde,SADNESS,0.9430472254753113,Turkish
112369,Nilüfer,Ara Sıra Bazı Bazı,JOY,0.9900528788566589,Turkish
112371,Peyk,Gidin,SADNESS,0.9984851479530334,Turkish
112372,Yaku,LEGO,FEAR,0.505164623260498,Turkish
112375,Sezen Aksu,Yanmışım Sönmüşüm Ben,JOY,0.7735016942024231,Turkish
112377,Sagopa Kajmer,Bir Çok Kez Öldüm,SADNESS,0.9985363483428955,Turkish
112380,Hayko Cepkin,Görmüyorsun,SADNESS,0.9709965586662292,Turkish
112381,Ferdi Tayfur,Ayrılacağım,ANGER,0.8976441025733948,Turkish
112384,Ahiyan,Kurtulamadım,ANGER,0.9967305660247803,Turkish
112386,Kibariye,Tepecikli,JOY,0.6968643069267273,Turkish
112387,İlhan İrem,Konuşamıyorum (Sazlıklardan Havalanan),FEAR,0.996815025806427,Turkish
112389,Rana Alagöz,Her Şey Bitmedi Bitemez,SADNESS,0.9932947754859924,Turkish
112390,Teoman,Ruhun Sarışın,SADNESS,0.9975029826164246,Turkish
